customerDomain,Product,skuName,Creation date (PST),status,planName,Renewal date (PST),licensedNumberOfSeats,maximumNumberOfSeats,Customer uid,customerId,subscriptionId
oi-me.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,8,14,S0LQ6Pre41w53X,C01j4pltn,3670646357
onyxbuilders.in,Google Workspace,Google Workspace Business Starter,"May 26, 2021",Active,Flexible Plan,-,3,3,SWvtZRPEkRo2vv,C02437my0,2820688579
oracus.net,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,37,55,Sz8o4s2WZN54gi,C019hwbei,3667349624
orangemena.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,3,4,SM9CvbWzcjPNZw,C00lok4u3,3667823004
orbitrics.com,Google Workspace,Google Workspace Business Starter,"June 29, 2021",Active,Flexible Plan,-,5,300,Sesvl4jb8XWX8h,C01yrezho,2919406879
orioncells.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,11,11,SDlbgi7zPLs6sP,C03gjd1bh,3667713635
orma.co.in,Google Workspace,Google Workspace Business Starter,"December 13, 2021",Suspended,Flexible Plan,-,1,300,SrFAtgyGTxnvC9,C01rqfgxa,3385940991
osa-oman.com,Google Workspace,Google Workspace Business Starter,"May 21, 2021",Active,Flexible Plan,-,11,300,SVLYJYeqJCDaEz,C02nfjtcm,2807012655
osdphotography.com,Google Workspace,Google Workspace Business Starter,"April 3, 2022",Active,Flexible Plan,-,1,1,SQoWscTUL1xJS5,C04894t5c,3708297235
otaibi.law,Google Workspace,Google Workspace Business Starter,"December 14, 2021",Active,Flexible Plan,-,4,4,S7CbxLC5e5p1Ox,C04eku1at,3389660159
oureyestore.com,Google Workspace,Google Workspace Business Starter,"April 13, 2021",Active,Flexible Plan,-,1,1,S3ggOwVNOxA6mm,C0202bfdb,2694307228
overseasairtravel.com,Google Workspace,Google Workspace Business Starter,"March 18, 2022",Active,Flexible Plan,-,1,1,Sbe7LdfT1N9Hzo,C00z71cks,3662468109
owl-generation.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,4,4,SeW1ctuw81IOEM,C03nralhq,3667303279
owlgeneration.in,-,-,-,-,-,-,0,0,SZ1r2w7Da1pQTd,C01toqs8x,-
oxfoninternational.com,Google Workspace,Google Workspace Business Starter,"December 5, 2021",Active,Flexible Plan,-,4,4,SKilGhNd86AYZu,C01wtrchr,3364650532
oxxohomeinteriors.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,1,1,SI9wySilhRcixB,C01a784i1,3667661885
pancorphrsolutions.com,Google Workspace,Google Workspace Business Starter,"March 23, 2022",Active,Flexible Plan,-,10,10,S3vsDh7qksbND3,C01qhhxkl,3677832604
parcolights.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,8,8,Scihgih4XY69y9,C04fcvor3,3667535548
pbgbank.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,1,1,SrfgPtKdhG7HYy,C00lyuzjv,3667776045
peeveestrading.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,1,1,SO6ag3BFztRRFu,C00pkz0nu,3667890252
pentestgarage.com,Google Workspace,G Suite Basic,"December 8, 2020",Suspended,Flexible Plan,-,1,1,SKypmuSm3KWtl4,C01nrs7ss,2271413508
perfecthandssolutions.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,10,20,S2oqhRLfPHdVRv,C0337vb19,3667815161
phs.network,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,3,3,SPoFF03YabHGXm,C01gbcjkp,3667668087
pillathaangi.com,Google Workspace,Google Workspace Business Starter,"March 11, 2022",Active,Flexible Plan,-,1,1,S3a2YRSzWpSwtS,C01lsyqoj,3638633402
pixelmate.ae,Google Workspace,Google Workspace Business Starter,"February 23, 2022",Active,Flexible Plan,-,3,3,SyWMxgSHhkGjYk,C03rhgxmg,3592359077
